Tabelle: 45412-0025
Arrivals, overnight stays in accommodation establishments:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Länder, months;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monthly tourism survey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;;;;Bayern;;;;Berlin;;;;Brandenburg;;;;Bremen;;;;Hamburg;;;;Hessen;;;;Mecklenburg-Vorpommern;;;;Niedersachsen;;;;Nordrhein-Westfalen;;;;Rheinland-Pfalz;;;;Saarland;;;;Sachsen;;;;Sachsen-Anhalt;;;;Schleswig-Holstein;;;;Thüringen;;;
;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;
;;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
;March;844485;e;2761926;e;1351395;e;5078334;e;263231;e;654090;e;86080;e;253177;e;41652;e;81700;e;183795;e;344958;e;661364;e;2108277;e;115798;e;339839;e;629495;e;2125860;e;1008774;e;2942572;e;333936;e;1118608;e;46946;e;150412;e;192159;e;537983;e;91370;e;262263;e;239218;e;1010543;e;140347;e;395228;e
;April;975231;e;3356211;e;1458912;e;5338363;e;256144;e;623097;e;108983;e;311107;e;43196;e;85330;e;172242;e;322615;e;628669;e;2189681;e;172790;e;498239;e;762941;e;3129220;e;916151;e;2884427;e;438007;e;1460571;e;45811;e;155619;e;208692;e;590784;e;95354;e;265460;e;371646;e;1878159;e;157235;e;428550;e
;May;1228320;e;4072143;e;2008314;e;7217910;e;301431;e;773087;e;191223;e;526586;e;50846;e;103470;e;191558;e;377057;e;815095;e;2652241;e;335822;e;977814;e;983840;e;3765564;e;1185346;e;3588140;e;594923;e;1906061;e;57480;e;182786;e;277904;e;797336;e;129016;e;340885;e;528203;e;2619617;e;228626;e;617486;e
;June;1232069;e;4233931;e;2018081;e;8090595;e;303731;e;753144;e;197788;e;566696;e;50248;e;96348;e;214390;e;388399;e;791307;e;2643651;e;387120;e;1330990;e;936792;e;3955179;e;1139690;e;3378109;e;586457;e;1896156;e;61271;e;183511;e;279185;e;786475;e;134972;e;360324;e;554009;e;3241983;e;231978;e;636210;e
;July;1239368;e;4917095;e;2331707;e;10099033;e;248284;e;621621;e;198523;e;779392;e;44899;e;84691;e;197445;e;361185;e;794286;e;2966854;e;548023;e;2399545;e;989423;e;5032654;e;934424;e;3332803;e;657917;e;2461121;e;54434;e;197903;e;257680;e;845420;e;129848;e;404017;e;718975;e;4905319;e;225818;e;690293;e
;August;1321467;e;5237783;e;2246454;e;10618122;e;287674;e;718960;e;205853;e;685462;e;47713;e;90109;e;199761;e;372536;e;749595;e;2942902;e;507857;e;2085667;e;1015175;e;4914291;e;976675;e;3428343;e;651984;e;2507323;e;53717;e;211304;e;232788;e;801279;e;126981;e;399138;e;597118;e;4336889;e;202527;e;682386;e
;September;1251300;e;4375793;e;2178623;e;8705524;e;314070;e;773938;e;164807;e;475257;e;50736;e;100094;e;204578;e;384476;e;838382;e;2795148;e;288072;e;975907;e;935560;e;3868065;e;1198755;e;3577901;e;600716;e;1969568;e;58776;e;178132;e;245679;e;720719;e;120465;e;333496;e;450368;e;2630853;e;217170;e;605742;e
;October;1121238;e;3647579;e;1947903;e;6771155;e;304381;e;742307;e;133220;e;387616;e;52144;e;98708;e;206292;e;386257;e;811238;e;2587781;e;195062;e;606772;e;853098;e;3054005;e;1175989;e;3474291;e;671879;e;2086253;e;59227;e;179909;e;235272;e;691860;e;128474;e;344745;e;356557;e;1727225;e;209419;e;564736;e
;November;739668;e;2383035;e;1163586;e;3569384;e;233548;e;529963;e;100623;e;293378;e;39174;e;74182;e;179170;e;327083;e;608075;e;1879119;e;108720;e;325543;e;542812;e;1571240;e;958987;e;2576020;e;350687;e;1107625;e;48425;e;150358;e;187032;e;520931;e;95028;e;266397;e;196490;e;732411;e;149703;e;409325;e
;December;600300;e;2169169;e;1166641;e;3948385;e;173481;e;394112;e;82193;e;230353;e;33514;e;63067;e;142655;e;253037;e;482068;e;1665463;e;92243;e;283801;e;433269;e;1411056;e;733395;e;2190078;e;249738;e;870217;e;36462;e;135685;e;162922;e;474332;e;83309;e;241156;e;167508;e;646283;e;136895;e;409540;e
1994;January;574915;e;2141971;e;1060954;e;4385319;e;193452;e;440539;e;80453;e;240454;e;35601;e;69513;e;134792;e;249790;e;507838;e;1762261;e;80718;e;265826;e;431985;e;1432224;e;785348;e;2340277;e;220728;e;813685;e;33110;e;131534;e;153103;e;464550;e;83423;e;232708;e;126163;e;575612;e;125492;e;378967;e
;February;674656;e;2360520;e;1272411;e;5146711;e;199440;e;474478;e;85054;e;261138;e;32869;e;63999;e;140547;e;266310;e;528296;e;1777442;e;99797;e;307059;e;489622;e;1592204;e;826667;e;2380388;e;261749;e;873000;e;36970;e;133017;e;170610;e;550686;e;95213;e;263066;e;158503;e;658613;e;139898;e;453211;e
;March;821309;e;2749703;e;1376792;e;5197351;e;238131;e;598591;e;115193;e;355222;e;38886;e;78771;e;186385;e;346940;e;611956;e;1984697;e;128554;e;396329;e;641045;e;2263113;e;941829;e;2797028;e;308803;e;1067178;e;47706;e;169391;e;217379;e;615193;e;114674;e;307981;e;256657;e;1180066;e;162839;e;466770;e
;April;941444;e;3156515;e;1433396;e;5057380;e;247240;e;592595;e;144300;e;442102;e;47210;e;92287;e;177818;e;340063;e;650125;e;2135404;e;185013;e;566918;e;743084;e;2800204;e;1000094;e;2929474;e;418972;e;1345995;e;51478;e;178554;e;251966;e;719751;e;129005;e;340746;e;329059;e;1618526;e;188029;e;532388;e
;May;1172380;e;3952714;e;1952267;e;7269079;e;312447;e;749454;e;246327;e;711792;e;50277;e;101577;e;192759;e;381415;e;784216;e;2556113;e;373543;e;1139437;e;968554;e;3654777;e;1178966;e;3422784;e;577973;e;1835577;e;60543;e;201592;e;325662;e;934759;e;170314;e;440690;e;519594;e;2605521;e;273531;e;748890;e
;June;1219629;e;4098254;e;1995854;e;7714358;e;309573;e;737242;e;246846;e;748525;e;51177;e;103023;e;203872;e;381360;e;821558;e;2684652;e;385187;e;1343323;e;907342;e;3652090;e;1095680;e;3297013;e;552057;e;1772943;e;59273;e;199264;e;333594;e;959866;e;178045;e;469676;e;511247;e;2847153;e;268417;e;755989;e
;July;1266393;e;4894755;e;2292600;e;9837968;e;255483;e;654358;e;282127;e;1060581;e;49221;e;94420;e;198535;e;379292;e;790274;e;2871347;e;670023;e;2931026;e;1010991;e;4834750;e;872467;e;3138521;e;601933;e;2327827;e;52959;e;224346;e;264050;e;940575;e;154653;e;508148;e;711923;e;4727469;e;228716;e;785471;e
